12/06/2024,ANNUAL FEE,139.00,,844.18
12/05/2024,COQ CITY CENTRE AQUATI,6.85,,705.18
12/01/2024,SAFEWAY #4958,13.64,,698.33
12/01/2024,GRAMMARLY CO*6QOH27H,86.40,,684.69
11/30/2024,URBAN GATE,6.35,,598.29
11/30/2024,AMZN Mktp CA*Z35823RY2,18.80,,591.94
11/30/2024,KOODO MOBILE PAC,68.32,,573.14
11/28/2024,SONG CAFE,25.87,,504.82
11/28/2024,AMZN Mktp CA*Z36BF2BA0,13.43,,478.95
11/27/2024,AMZN Mktp CA*A66ZW7EE3,13.43,,465.52
11/27/2024,URBAN GATE,6.27,,452.09
11/26/2024,SPOTIFY,6.71,,445.82
11/26/2024,COQ CITY CENTRE AQUATI,6.85,,439.11
11/25/2024,PAYMENT - THANK YOU,,110.45,432.26
11/23/2024,NORTH 40 OUTFITTERS OMK,40.58,,542.71
11/21/2024,MCDONALD'S #18463  QPS,7.34,,502.13
11/21/2024,WAL-MART SUPERCENTER#1208,26.96,,494.79
11/21/2024,CHV43037 PRINCETON CHE,2.30,,467.83
11/19/2024,COQ CITY CENTRE AQUATI,6.85,,465.53
11/18/2024,WAL-MART SUPERCENTER#1208,6.47,,458.68
11/18/2024,IMPARK00661600U,12.00,,452.21
11/18/2024,IMPARK00661600U,9.00,,440.21
11/14/2024,URBAN GATE,8.71,,431.21
11/13/2024,PAYMENT - THANK YOU,,200.00,422.50
11/11/2024,Amazon.ca Prime Member,11.29,,622.50
11/11/2024,COQ CITY CENTRE AQUATI,6.85,,611.21
11/10/2024,BARNETT / JOHNSON 37889,80.00,,604.36
11/10/2024,INSIDE OUT TEA LOFT,9.88,,524.36
11/09/2024,TST-Foys Irish Pub,20.20,,514.48
11/09/2024,SQ *COFFEE + VANILLA,4.16,,494.28
11/09/2024,CITY OF VAN PAYBYPHONE,0.65,,490.12
11/09/2024,CITY OF VAN PAYBYPHONE,2.15,,489.47
11/08/2024,RAVEN GRAPPLING,168.00,,487.32
11/08/2024,URBAN FARE #7623,4.73,,319.32
11/08/2024,PAYMENT - THANK YOU,,200.00,314.59
11/07/2024,APPLE.COM/BILL,4.14,,514.59
