01/06/2025,INTEREST CHARGE -PURCHASE,11.73,,849.87
01/04/2025,CITY OF VAN-PARKS AN MT P,8.33,,838.14
01/02/2025,KOODO MOBILE PAC,68.32,,829.81
01/01/2025,COQ CITY CENTRE AQUATI,6.85,,761.49
12/28/2024,UBER CANADA/UBERTRIP,24.51,,754.64
12/27/2024,UBER CANADA/UBERTRIP,18.93,,730.13
12/27/2024,The Wired Owl Coffee Comp,13.80,,711.20
12/27/2024,ZEHRS BARRIE #514,85.10,,697.40
12/27/2024,DONALEIGHS IRISH PUB,82.78,,612.30
12/27/2024,PAYMENT - THANK YOU,,150.00,529.52
12/26/2024,SPOTIFY,7.16,,679.52
12/23/2024,HAKOME SUSHI,54.99,,672.36
12/23/2024,MCDONALD'S #41203,3.00,,617.37
12/23/2024,INSIDE OUT TEA LOFT,8.98,,614.37
12/20/2024,HOMETOWN PRINTS INC.,40.00,,605.39
12/18/2024,COQ CITY CENTRE AQUATI,6.85,,565.39
12/17/2024,THE DIME,57.78,,558.54
12/16/2024,PAYMENT - THANK YOU,,200.00,500.76
12/14/2024,KUAI WEI JIA,18.34,,700.76
12/12/2024,REAL CDN SUPERSTORE 15,22.40,,682.42
12/12/2024,COQ CITY CENTRE AQUATI,6.85,,660.02
12/12/2024,PAYMENT - THANK YOU,,150.00,653.17
12/11/2024,Amazon.ca Prime Member,11.29,,803.17
12/10/2024,WAL-MART SUPERCENTER#1208,16.80,,791.88
12/10/2024,SAINT GERMAIN BAKERY,11.79,,775.08
12/09/2024,WAL-MART SUPERCENTER#1208,5.47,,763.29
12/09/2024,MUM'S THE WORD,4.96,,757.82
12/09/2024,PAYMENT - THANK YOU,,300.00,752.86
12/08/2024,MR. GREEK DONAIR TOWN,20.36,,1052.86
12/08/2024,RAVEN GRAPPLING,168.00,,1032.50
12/07/2024,SAFEWAY #4980,10.72,,864.50
12/07/2024,MCDONALD'S #12417,5.13,,853.78
12/06/2024,APPLE.COM/BILL,4.47,,848.65
