02/06/2025,INTEREST CHARGE -PURCHASE,16.22,,1162.71
02/02/2025,SQ *VILLAGE STUDIOS,55.54,,1146.49
02/02/2025,AMZN Mktp CA*Z70C75NM0,14.55,,1090.95
02/02/2025,UBER CANADA/UBERTRIP,57.48,,1076.40
02/01/2025,KOODO MOBILE PAC,68.32,,1018.92
01/30/2025,WAL-MART SUPERCENTER#1208,18.37,,950.60
01/29/2025,MR. LUBE COQUITLAM,152.30,,932.23
01/28/2025,T&T SUPERMARKET #008,5.79,,779.93
01/28/2025,SQ *CAFFE DIVANO,8.32,,774.14
01/28/2025,PAYMENT - THANK YOU,,150.00,765.82
01/26/2025,SPOTIFY,7.16,,915.82
01/25/2025,T&T SUPERMARKET #008,29.87,,908.66
01/23/2025,CREEKSIDE COFFEE FACTORY,6.33,,878.79
01/23/2025,CREEKSIDE COFFEE FACTORY,3.91,,872.46
01/23/2025,REAL CDN SUPERSTORE 15,128.93,,868.55
01/22/2025,BARNETT / JOHNSON 37889,60.00,,739.62
01/22/2025,SQ *CAFFE DIVANO,3.95,,679.62
01/21/2025,PAYMENT - THANK YOU,,200.00,675.67
01/18/2025,CREEKSIDE COFFEE FACTORY,14.95,,875.67
01/16/2025,EXPEDIA 73009396533279,51.66,,860.72
01/15/2025,PAYMENT - THANK YOU,,150.00,809.06
01/12/2025,IKEA COQUITLAM,8.24,,959.06
01/11/2025,Amazon.ca Prime Member,11.29,,950.82
01/11/2025,PHARMASAVE #102,5.59,,939.53
01/08/2025,RAVEN GRAPPLING,168.00,,933.94
01/08/2025,COQ CITY CENTRE AQUATI,54.75,,765.94
01/07/2025,PAYMENT - THANK YOU,,150.00,711.19
01/06/2025,APPLE.COM/BILL,4.47,,861.19
01/06/2025,COQ CITY CENTRE AQUATI,6.85,,856.72
